Designator;Footprint;Mid X;Mid Y;Rotation
C1; C_0805;41.91;87.63;0
C10; CAPAE660X590N;64.14;83.19;90
C11; C_0805;26.04;69.85;90
C12; C_0603;38.73;65.41;180
C13; C_0603;52.07;65.41;0
C14; A_3216;66.04;67.31;180
C15; C_1206;66.04;64.77;180
C16; C_0603;71.76;61.6;90
C17; C_0805;66.67;57.15;180
C18; C_0603;66.67;55.25;180
C19; C_0805;92.71;29.21;270
C2; C_0805;41.91;68.58;0
C20; C_0805;96.52;32.38;180
C21; C_0603;96.52;34.29;180
C22; C_0603;74.3;55.25;180
C23; C_0603;64.77;36.83;90
C24; C_0805;78.74;49.53;90
C25; C_0603;67.31;44.45;180
C26; C_0603;76.84;49.53;90
C27; C_0603;67.31;43.18;180
C28; C_0603;81.92;32.38;270
C29; C_0603;80.65;32.38;270
C3; C_0603;15.24;80.65;180
C30; C_0603;75.56;40.64;180
C31; C_0603;87;36.2;270
C32; C_0603;88.27;36.2;270
C33; C_0603;75.56;58.42;90
C34; C_0603;92.08;40.01;90
C35; C_0603;90.81;40.01;90
C36; C_0603;24.13;30.48;270
C37; C_0603;24.13;41.91;270
C38; C_0603;41.91;42.55;90
C39; C_0603;43.82;33.02;180
C4; C_0603;22.86;67.95;180
C40; C_1206;25.4;24.13;0
C41; C_1206;19.69;29.85;180
C42; C_0603;20.96;42.55;0
C43; CAPAE830X680N;36.2;46.99;0
C5; C_0805;22.86;66.04;180
C6; C_0603;69.22;73.03;90
C7; C_0603;69.22;83.19;90
C8; C_0603;27.94;69.85;90
C9; CAPAE660X590N;64.14;73.03;90
D1; SOD523;25.4;74.93;0
D10; SOD123W;10.79;13.97;180
D11; SOD123W;10.79;11.43;180
D12; SOD123W;36.83;25.4;270
D13; SOD123W;34.29;25.4;270
D14; SOD123W;46.36;46.99;270
D15; SOD123W;43.18;46.99;90
D16; LED_0603_ARROW;78.11;74.3;270
D17; LED_0603_ARROW;83.19;74.3;270
D2; SOD523;31.12;74.93;180
D3; SOD523;28.58;74.93;0
D4; SOD123W;90.81;33.66;270
D5; LED_0603_ARROW;80.65;74.3;270
D6; SOD123W;23.5;8.26;180
D7; SOD123W;23.5;5.71;0
D8; SOD123W;23.5;13.34;0
D9; SOD123W;23.5;10.79;180
J3; SAMTEC_FTSH-107-01-L-DV-K-A;91.44;60.96;90
J5; F0504-H-05-10G-R;78.57;62.87;270
Q1; SOT-23;31.73;32.15;270
Q2; SOT-23;34.93;29.85;0
R1; R0402;15.24;82.55;180
R10; R_0603;63.66;52.07;180
R11; R_0603;63.66;50.16;180
R12; R_0603;80.65;71.76;90
R13; R_0603;63.66;48.26;180
R14; R_0603;78.11;59.05;180
R15; R_0603;93.34;67.31;180
R16; R_0603;89.54;67.31;180
R17; R_0603;26.67;29.85;270
R18; R_0603;28.58;29.85;270
R2; R0402;23.5;64.14;0
R20; R_0603;19.05;23.5;270
R21; R_0603;21.59;23.5;270
R22; R_0603;24.13;26.67;180
R23; R_0603;20.32;27.3;0
R24; R_0603;20.96;40.64;180
R25; R_0603;31.75;34.93;0
R26; R_0603;31.75;25.4;90
R27; R_0603;31.75;36.83;180
R28; R_0603;37.47;29.21;90
R29; R_0603;46.36;23.5;90
R3; R0402;23.5;62.23;180
R30; RV3.2X4;42.41;24.21;90
R31; R_0603;26.04;47.63;0
R32; RV3.2X4;22.09;46.43;90
R33; R_0603;46.36;27.3;90
R34; R_0603;48.26;27.3;90
R35; R_0603;26.67;40.64;270
R36; R_0603;28.58;40.64;270
R37; R_0603;78.11;71.76;90
R38; R_0603;83.19;71.76;90
R4; R0402;23.5;60.33;0
R5; R_0603;52.07;63.5;0
R6; R_0603;52.07;61.6;0
R7; R_0603;69.85;61.6;90
R8; R_0603;74.3;53.98;180
R9; R_0603;62.87;36.83;270
S1; SMTR2;69.85;36.2;0
SJ1; SJ;69.85;56.52;270
SJ2; SJ;97.16;36.83;0
SJ3; SJ;93.98;38.1;90
SJ4; SJ;91.44;53.98;180
SJ5; SJ_2S;23.5;2.54;270
SJ6; SJ_2S;73.66;62.87;270
SJ7; SJ1;29.21;45.72;270
SW1; DIPSW-3;69.85;50.16;270
TP10; TP16R;84.45;13.34;0
TP5; TP16R;17.78;38.1;90
TP6; TP16R;83.82;30.48;0
TP7; TP16R;29.85;20.96;180
TP8; TP16R;17.78;33.02;90
TP9; TP16R;87.63;30.48;0
U1; MLP28;28.58;62.87;270
U2; SO8;45.72;63.5;270
U3; SOT23-5;66.67;60.33;180
U4; SOT23-5;96.52;29.21;270
U5; SOT-23-6;78.74;55.88;180
U6; QFP50P900X900X160-48N;82.55;41.91;0
U7; SOIC127P600X175-14N;24.13;35.56;90
U8; SO16;40.01;37.47;90
XTAL1; XTAL3.2X2.5;70.48;43.82;90
